Login Date,IP Address,User Agent,Login Type
Mon Sep 11 23:09:51 UTC 2023,49.186.68.234,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 [LinkedInApp]/0.931.115",Login
Sun Sep 17 10:10:09 UTC 2023,14.202.246.167,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 [LinkedInApp]/0.931.115",Login
Sun Sep 17 10:46:01 UTC 2023,14.202.246.167,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-F916B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",Login
Sun Sep 17 10:46:03 UTC 2023,14.202.246.167,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-F916B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",Login
Mon Sep 18 10:35:53 UTC 2023,49.180.227.148,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 [LinkedInApp]/0.934.93",Login
Mon Sep 18 10:37:03 UTC 2023,49.180.227.148,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-F916B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",Login
Thu Oct 05 00:31:48 UTC 2023,49.185.102.205,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 [LinkedInApp]/0.939.74",Login
Thu Oct 05 00:32:17 UTC 2023,49.185.102.205,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.866.1 samsung_SM-F916B:android_13,Login
Thu Oct 05 00:32:17 UTC 2023,49.185.102.205,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.866.1 samsung_SM-F916B:android_13,Login
Thu Oct 12 01:17:50 UTC 2023,203.166.247.175,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 [LinkedInApp]/0.941.97",Login
Sun Nov 26 09:06:18 UTC 2023,60.241.116.28,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.66 Mobile Safari/537.36 [LinkedInApp]/0.957.198",Login
Sun Nov 26 09:06:26 UTC 2023,60.241.116.28,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.66 Mobile Safari/537.36 [LinkedInApp]/0.957.198",Login
Sun Nov 26 09:30:26 UTC 2023,60.241.116.28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Login
Mon Dec 18 21:33:26 UTC 2023,118.102.109.2,"Mozilla/5.0 (Linux; Android 13; SM-F916B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.43 Safari/537.36 [LinkedInApp]/0.965.176",Login
